,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_without ,output_with
0,0.202602804,0.014906822,0.001933419,0,0,0,0,0,0,0,0,0,0.007140652,0,0,0,0.01483371,0.013793888,6.50E-05,0,0,0,0,0,0,0,0.000129978,0,0.002225869,0,6.50E-05,0,0.002047149,6.50E-05,0.420502364,0.009992039,0.018229378,0.000170596,0,0,0,0,0.000129978,0,0,9.75E-05,0.01060131,0.008903475,0,0,0.009715836,0.003265691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018408098,0,3.422695738,0.00943151,0.071406522,0,0,0,0,0,0,0,0,0,0,0,0.000170596,0,0.008245463,2.195429658,0.044720467,0.065013241,0.027498416,0.000268079,0,0,0,0,0,0.001933419,0,0,0,0,0.081122358,0.04385124,0.938739866,0.190019334,0,0.055866058,0,0,0,0,0,0,0,0,0,0,0,0.065013241,0.186444946,1.838851972,0.03214512,0.002591431,0,0,0,0,0,0,0,0,0,0,0,0.026231133,0,0.029521194,4.988927521,0,0,0,0,0.001478497,0.003143837,0.026686055,0,0,0,0,0,0.00029245,0.053973257,0.002989488,0,0.115533965,0,0,0,0,0,0,0,0.000129978,0.000129978,0,0,0,0,0,0,0,0.0643796,0.104055306,0.01042259,0.000146225,0.011608637,0,0,0,0,0,0,0,0,0,0,0,0.106411152,0.442956019,0.032364458,0.024663276,0.029350599,0,0.006953809,0.002177127,0,0,0,0,0,0,0,0,0.011015614,0.034046045,0.335643146,0,0.004289265,0,0,0,0.000113731,0,0,0,0,0,0.001307901,0,0.000146225,0.02437895,0,1.419771239,0.081463549,0.0186843,0,6.50E-05,0.01168175,0,0,0,0,0,0.002615802,0,0.010788153,0.026223009,0.001186047,0.084420543,0.312750816,0.002672667,0,0,0.008391688,0,0,0.001819688,0,0,0.024224602,0,0,0,0,0.018318738,0.00294887,0.133747096,-0.261368394,-0.102305999
1,0.20508563,0.016023922,0.001954316,0,0,0,0,0,0,0,0,0,0.007942164,0,0,0,0.01592841,0.016090045,2.94E-05,0,0,0,0,0,0,0,5.88E-05,0,0.002777186,0,2.94E-05,0,0.001954316,2.94E-05,0.496550559,0.009389533,0.018095791,0.000264494,0,0,0,0,5.88E-05,0,0,0.000102859,0.014488388,0.008801769,0,0,0.009360145,0.003173927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018081097,0,4.205239918,0.010175668,0.073573386,0,0,0,0,0,0,0,0,0,0,0,0.000308576,0,0.010778126,2.524204865,0.046727255,0.071435394,0.02644939,0.000286535,0,0,0,0,0,0.002571468,0,0,0,0,0.07613016,0.044229257,1.043810475,0.19386668,0,0.062148719,0,0,0,0,0,0,0,0,0,0,0,0.071567641,0.203300296,2.396263289,0.043957416,0.002887392,0,0,0,0,0,0,0,0,0,0,0,0.023708939,0,0.042407188,5.306217811,0,0,0,0,0.001256346,0.002681674,0.025538355,0,0,0,0,0,0.000242453,0.060723391,0.002409833,0,0.153568096,0,0,0,0,0,0,0,5.88E-05,5.88E-05,0,0,0,0,0,0,0,0.063662212,0.105635924,0.010138933,0,0.011608343,0,0,0,0,0,0,0,0,0,0,0,0.10447509,0.462496969,0.033796443,0.023988127,0.031305792,0,0.007905429,0.002733104,0,0,0,0,0,0,0,0,0.010116892,0.032437238,0.392641192,0,0.00246861,0,0,0,0.000102859,0,0,0,0,0,0.001182875,0,0,0.02398078,0,1.518753352,0.082345767,0.017390474,0,2.94E-05,0.013996135,0,0,0,0,0,0.002365751,0,0.010726697,0.030431492,0.001234305,0.084344165,0.386418238,0.002725757,0,0,0.008397681,0,0,0.002013092,0,0,0.022518717,0,0,0,0,0.017045162,0.003306174,0.137441315,-0.268093992,-0.102197023
2,0.205411611,0.016049392,0.001957422,0,0,0,0,0,0,0,0,0,0.007925353,0,0,0,0.015953728,0.01611562,2.94E-05,0,0,0,0,0,0,0,5.89E-05,0,0.0027816,0,2.94E-05,0,0.001957422,2.94E-05,0.496596587,0.009404458,0.018124554,0.000264914,0,0,0,0,5.89E-05,0,0,0.000103022,0.014364242,0.008815759,0,0,0.009375023,0.003178972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018109836,0,4.215691757,0.010191842,0.07369033,0,0,0,0,0,0,0,0,0,0,0,0.000309067,0,0.010795258,2.536716387,0.046889832,0.071548939,0.026491431,0.00028699,0,0,0,0,0,0.002575556,0,0,0,0,0.076251168,0.045359216,1.045557902,0.194174829,0,0.062247504,0,0,0,0,0,0,0,0,0,0,0,0.071681396,0.203623439,2.41877065,0.044027286,0.002891981,0,0,0,0,0,0,0,0,0,0,0,0.023746624,0,0.042474594,5.310369188,0,0,0,0,0.001258343,0.002685937,0.025578948,0,0,0,0,0,0.000242838,0.06081991,0.002413664,0,0.15381219,0,0,0,0,0,0,0,5.89E-05,5.89E-05,0,0,0,0,0,0,0,0.06394737,0.105921571,0.010096179,0,0.011626795,0,0,0,0,0,0,0,0,0,0,0,0.104486618,0.460847873,0.033070136,0.023879081,0.031355552,0,0.007917994,0.002737448,0,0,0,0,0,0,0,0,0.010096179,0.032187088,0.392536775,0,0.002472534,0,0,0,0.000103022,0,0,0,0,0,0.001184756,0,0,0.022834142,0,1.514316411,0.082476654,0.017418116,0,2.94E-05,0.014018382,0,0,0,0,0,0.002369511,0,0.010743747,0.030479863,0.001236267,0.084478229,0.385634286,0.002730089,0,0,0.008411029,0,0,0.002016292,0,0,0.02255451,0,0,0,0,0.017072255,0.003311429,0.1376377,-0.27,-0.104685858
3,0.205094671,0.016024628,0.001954402,0,0,0,0,0,0,0,0,0,0.007913125,0,0,0,0.015929113,0.016090755,2.94E-05,0,0,0,0,0,0,0,5.88E-05,0,0.002777308,0,2.94E-05,0,0.001954402,2.94E-05,0.498504809,0.009389947,0.018096589,0.000264506,0,0,0,0,5.88E-05,0,0,0.000102863,0.014342079,0.008802157,0,0,0.009360558,0.003174067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018081894,0,4.204719955,0.010176117,0.073576629,0,0,0,0,0,0,0,0,0,0,0,0.00030859,0,0.010778602,2.536307062,0.046817484,0.071504669,0.026450556,0.000286548,0,0,0,0,0,0.002571582,0,0,0,0,0.076133517,0.045289229,1.045590472,0.193875227,0,0.062151459,0,0,0,0,0,0,0,0,0,0,0,0.07161488,0.203309258,2.419667458,0.043996091,0.002887519,0,0,0,0,0,0,0,0,0,0,0,0.023709984,0,0.042475184,5.30684849,0,0,0,0,0.001256401,0.002681792,0.025539481,0,0,0,0,0,0.000242463,0.060726068,0.00240994,0,0.153574866,0,0,0,0,0,0,0,5.88E-05,5.88E-05,0,0,0,0,0,0,0,0.063848703,0.105905087,0.010080601,0,0.011608855,0,0,0,0,0,0,0,0,0,0,0,0.104582559,0.462605527,0.033393827,0.023871627,0.031307172,0,0.007905777,0.002733224,0,0,0,0,0,0,0,0,0.010117338,0.032438668,0.391975195,0,0.002468719,0,0,0,0.000102863,0,0,0,0,0,0.001182928,0,0,0.023981837,0,1.521009823,0.082349397,0.01739124,0,2.94E-05,0.013996752,0,0,0,0,0,0.002365855,0,0.01072717,0.030432834,0.001234359,0.084347884,0.385039272,0.002725877,0,0,0.008398051,0,0,0.002013181,0,0,0.022519709,0,0,0,0,0.017045914,0.003306319,0.137425332,-0.265636078,-0.11
4,0.205411611,0.016049392,0.001957422,0,0,0,0,0,0,0,0,0,0.007925353,0,0,0,0.015953728,0.016159773,5.89E-05,0,0,0,0,0,0,0,0.00011774,0,0.0027816,0,5.89E-05,0,0.001957422,5.89E-05,0.499988962,0.009404458,0.018124554,0.000264914,0,0,0,0,0.00011774,0,0,0.000103022,0.014688027,0.008815759,0,0,0.009375023,0.003178972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018109836,0,4.219856799,0.010191842,0.07369033,0,0,0,0,0,0,0,0,0,0,0,0.000309067,0,0.010795258,2.536716387,0.046889832,0.071548939,0.026491431,0.00028699,0,0,0,0,0,0.002575556,0,0,0,0,0.076251168,0.045359216,1.045557902,0.194255775,0,0.062247504,0,0,0,0,0,0,0,0,0,0,0,0.071725549,0.203814766,2.424216111,0.04406408,0.002891981,0,0,0,0,0,0,0,0,0,0,0,0.023746624,0,0.042540823,5.312988896,0,0,0,0,0.001258343,0.002685937,0.025578948,0,0,0,0,0,0.000242838,0.06081991,0.002413664,0,0.15381219,0,0,0,0,0,0,0,0.00011774,0.00011774,0,0,0,0,0,0,0,0.063962088,0.105965723,0.009581067,0,0.011685664,0,0,0,0,0,0,0,0,0,0,0,0.104641151,0.463232102,0.032209165,0.024026256,0.031355552,0,0.007844407,0.002737448,0,0,0,0,0,0,0,0,0.009470686,0.030634396,0.389615359,0,0.002472534,0,0,0,0.000103022,0,0,0,0,0,0.001184756,0,0,0.024018897,0,1.526318501,0.082476654,0.017418116,0,5.89E-05,0.014194992,0,0,0,0,0,0.002369511,0,0.010802617,0.030479863,0.001236267,0.084478229,0.387635861,0.002730089,0,0,0.008411029,0,0,0.002016292,0,0,0.02255451,0,0,0,0,0.017072255,0.003311429,0.1376377,-0.25625977,-0.118573239
5,0.206177771,0.015991424,0.00205583,0,0,0,0,0,0,0,0,0,0.007907605,0,0,0,0.01604282,0.016138269,5.87E-05,0,0,0,0,0,0,0,0.000117476,0,0.002775371,0,5.87E-05,0,0.001953039,5.87E-05,0.500565353,0.009449478,0.018950352,0.000264321,0,0,0,0,0.000117476,0,0,0.000102792,0.014912113,0.008796018,0,0,0.009368713,0.003186537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018730084,0,4.228299975,0.010191045,0.074406379,0,0,0,0,0,0,0,0,0,0,0,0.000308375,0,0.01079311,2.535081279,0.046836224,0.071388713,0.026432106,0.000286348,0,0,0,0,0,0.002569788,0,0,0,0,0.079604693,0.045154848,1.055177022,0.193159958,0,0.062108107,0,0,0,0,0,0,0,0,0,0,0,0.071403398,0.203886988,2.408897341,0.043965403,0.002885505,0,0,0,0,0,0,0,0,0,0,0,0.023935741,0,0.042445557,5.314042791,0,0,0,0,0.001255525,0.002679922,0.025521667,0,0,0,0,0,0.000242294,0.060948032,0.002408259,0,0.153511799,0,0,0,0,0,0,0,0.000117476,0.000117476,0,0,0,0,0,0,0,0.06394367,0.10669026,0.010470051,0,0.011718234,0,0,0,0,0,0,0,0,0,0,0,0.10470051,0.463854095,0.03495646,0.023972452,0.031813977,0,0.007900263,0.002731318,0,0,0,0,0,0,0,0,0.010558158,0.033436614,0.392480066,0,0.002819425,0,0,0,0.000102792,0,0,0,0,0,0.001064626,0,0,0.02396511,0,1.530000441,0.082291957,0.01737911,0,5.87E-05,0.014420182,0,0,0,0,0,0.002129253,0,0.010660949,0.030463002,0.001233498,0.08428905,0.387355174,0.002723975,0,0,0.008759306,0,0,0.002011777,0,0,0.021211765,0,0,0,0,0.017034024,0.003304013,0.138034332,-0.24504964,-0.131039968
6,0.210142062,0.016080807,0.002104031,0,0,0,0,0,0,0,0,0,0.007000253,0,0,0,0.01592261,0.014024236,6.33E-05,0,0,0,0,0,0,0,0.000126558,0,0.00216731,0,6.33E-05,0,0.002104031,6.33E-05,0.529733278,0.010061381,0.016547491,0.000166108,0,0,0,0,0.000126558,0,0,0.000110738,0.011508891,0.009120104,0,0,0.01008511,0.003306334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017425489,0,3.69796874,0.010346137,0.053834715,0,0,0,0,0,0,0,0,0,0,0,0.000166108,0,0.010172119,2.366196292,0.045181295,0.063975195,0.027312852,0.000284756,0,0,0,0,0,0.001882554,0,0,0,0,0.062053091,0.044730431,0.998694868,0.194701955,0,0.060518572,0,0,0,0,0,0,0,0,0,0,0,0.064165032,0.191886034,1.80273524,0.031734481,0.0028792,0,0,0,0,0,0,0,0,0,0,0,0.026070999,0,0.028744542,5.043797064,0,0,0,0,0.0014396,0.003061128,0.02598399,0,0,0,0,0,0.000308486,0.056745555,0.003219325,0,0.126645257,0,0,0,0,0,0,0,0.000126558,0.000126558,0,0,0,0,0,0,0,0.063500601,0.103635386,0.011176675,9.49E-05,0.011500981,0,0,0,0,0,0,0,0,0,0,0,0.104181168,0.440137948,0.035673606,0.024528571,0.028950199,0,0.006755047,0.002119851,0,0,0,0,0,0,0,0,0.01080491,0.032826046,0.333496804,0,0.004176422,0,0,0,9.49E-05,0,0,0,0,0,0.001273492,0,9.49E-05,0.024346643,0,1.429087831,0.081187116,0.017923812,0,6.33E-05,0.010662532,0,0,0,0,0,0.002546985,0,0.01010884,0.024710498,0.001518699,0.083520534,0.312535595,0.002602354,0,0,0.008930266,0,0,0.001771815,0,0,0.023587294,0,0,0,0,0.01805828,0.00287129,0.131169715,-0.235205241,-0.147628724
7,0.20308298,0.014823575,0.001927875,0,0,0,0,0,0,0,0,0,0.007120176,0,0,0,0.014750672,0.013754334,6.48E-05,0,0,0,0,0,0,0,0.000129605,0,0.002219486,0,6.48E-05,0,0.002041279,6.48E-05,0.41932087,0.009963387,0.015260992,0.000170107,0,0,0,0,0.000129605,0,0,9.72E-05,0.01057091,0.008877944,0,0,0.009687976,0.003256326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015439199,0,3.293498688,0.009404465,0.039084016,0,0,0,0,0,0,0,0,0,0,0,0.000170107,0,0.008221819,2.189020834,0.04459223,0.064826815,0.027419564,0.00026731,0,0,0,0,0,0.001927875,0,0,0,0,0.05104008,0.043725497,0.937263066,0.189563555,0,0.055705861,0,0,0,0,0,0,0,0,0,0,0,0.064875417,0.186120921,1.685497197,0.032052944,0.002584,0,0,0,0,0,0,0,0,0,0,0,0.026155915,0,0.029436542,5.010263098,0,0,0,0,0.001474257,0.003134822,0.026609532,0,0,0,0,0,0.000291611,0.053818488,0.002980916,0,0.11520267,0,0,0,0,0,0,0,0.000129605,0.000129605,0,0,0,0,0,0,0,0.064194991,0.103756926,0.010392703,9.72E-05,0.011575349,0,0,0,0,0,0,0,0,0,0,0,0.106106017,0.441766841,0.032271652,0.025224379,0.029266436,0,0.006933869,0.002170884,0,0,0,0,0,0,0,0,0.010984026,0.033948417,0.334680686,0,0.004276966,0,0,0,0.000113404,0,0,0,0,0,0.001304151,0,9.72E-05,0.024981369,0,1.426068431,0.081238052,0.018630723,0,6.48E-05,0.011648252,0,0,0,0,0,0.002608301,0,0.010757217,0.026147815,0.001182646,0.084194667,0.315061724,0.002665003,0,0,0.008367625,0,0,0.00181447,0,0,0.024155137,0,0,0,0,0.018217607,0.002940414,0.133339274,-0.228256857,-0.167384081
8,0.205289839,0.016023804,0.00205716,0,0,0,0,0,0,0,0,0,0.007912718,0,0,0,0.015928293,0.016089927,2.94E-05,0,0,0,0,0,0,0,5.88E-05,0,0.002777166,0,2.94E-05,0,0.001954302,2.94E-05,0.49911836,0.009389464,0.018301374,0.000264492,0,0,0,0,5.88E-05,0,0,0.000102858,0.014635222,0.008801705,0,0,0.009360076,0.003173903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018080964,0,4.221930791,0.010175593,0.066791566,0,0,0,0,0,0,0,0,0,0,0,0.000308574,0,0.010778047,2.523414885,0.046726912,0.071434869,0.026427155,0.000286533,0,0,0,0,0,0.00257145,0,0,0,0,0.073932848,0.044228932,1.044860774,0.194129748,0,0.062148262,0,0,0,0,0,0,0,0,0,0,0,0.071611197,0.203489824,2.417529939,0.043332599,0.002887371,0,0,0,0,0,0,0,0,0,0,0,0.023951216,0,0.041657483,5.310234369,0,0,0,0,0.001256337,0.002681655,0.025538168,0,0,0,0,0,0.000242451,0.060722945,0.002409816,0,0.153552274,0,0,0,0,0,0,0,5.88E-05,5.88E-05,0,0,0,0,0,0,0,0.063845419,0.10589964,0.010227022,0,0.011608258,0,0,0,0,0,0,0,0,0,0,0,0.10457718,0.462581735,0.033796194,0.023987951,0.031305562,0,0.007905371,0.002733084,0,0,0,0,0,0,0,0,0.010116817,0.032436999,0.368709132,0,0.002468592,0,0,0,0.000102858,0,0,0,0,0,0.001182867,0,0,0.023980604,0,1.519667916,0.082345162,0.017390346,0,2.94E-05,0.014142973,0,0,0,0,0,0.002365734,0,0.010726618,0.030431269,0.001234296,0.084343546,0.386973771,0.002725737,0,0,0.00839762,0,0,0.002013078,0,0,0.022518551,0,0,0,0,0.017045037,0.003306149,0.137440306,-0.223691402,-0.187930524
9,0.189480722,0.014476292,0.001917283,0,0,0,0,0,0,0,0,0,0.007209951,0,0,0,0.014637408,0.013509594,3.22E-05,0,0,0,0,0,0,0,6.44E-05,0,0.002207292,0,3.22E-05,0,0.001917283,3.22E-05,0.512220665,0.009803922,0.019930076,0.000169172,0,0,0,0,6.44E-05,0,0,0.000112781,0.011407028,0.009360852,0,0,0.009908647,0.003270659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020534261,0,3.909992428,0.010537,0.096315272,0,0,0,0,0,0,0,0,0,0,0,0.000169172,0,0.010359773,2.312646012,0.045676446,0.061449724,0.027816714,0.000290009,0,0,0,0,0,0.001836725,0,0,0,0,0.101132647,0.04511254,0.926885462,0.197778207,0,0.054384778,0,0,0,0,0,0,0,0,0,0,0,0.062174747,0.193967809,1.886243898,0.031296824,0.002932315,0,0,0,0,0,0,0,0,0,0,0,0.026551952,0,0.02867063,4.956490567,0,0,0,0,0.001305041,0.002795366,0.025496641,0,0,0,0,0,0.000314177,0.048826268,0.003278715,0,0.112628289,0,0,0,0,0,0,0,6.44E-05,6.44E-05,0,0,0,0,0,0,0,0.06518762,0.111363527,0.011487586,0,0.012728181,0,0,0,0,0,0,0,0,0,0,0,0.109027341,0.493305621,0.038353715,0.025673869,0.030974592,0,0.007234118,0.002158957,0,0,0,0,0,0,0,0,0.011294247,0.036009474,0.371646769,0,0.002706752,0,0,0,9.67E-05,0,0,0,0,0,0.001296986,0,0,0.025609422,0,1.576062964,0.086382458,0.017972514,0,3.22E-05,0.010158377,0,0,0,0,0,0.002593971,0,0.011503698,0.028565905,0.001353376,0.086624132,0.316714196,0.002569804,0,0,0.008917782,0,0,0.00178839,0,0,0.022862391,0,0,0,0,0.018012793,0.002666473,0.136272093,-0.22,-0.20621925
